Phase,Stack,Mode,Profile,Dataset,BookCount,Scenario,Status,ProcessRuns,PassSamples,FailedSamples,UnsupportedSamples,cache_database_bytes_count,cache_database_bytes_max,cache_database_bytes_mean,cache_database_bytes_median,cache_database_bytes_min,cache_database_bytes_p90,cache_database_bytes_stdev,cumulative_dirty_screen_equivalents_count,cumulative_dirty_screen_equivalents_max,cumulative_dirty_screen_equivalents_mean,cumulative_dirty_screen_equivalents_median,cumulative_dirty_screen_equivalents_min,cumulative_dirty_screen_equivalents_p90,cumulative_dirty_screen_equivalents_stdev,forced_gc_live_heap_kb_count,forced_gc_live_heap_kb_max,forced_gc_live_heap_kb_mean,forced_gc_live_heap_kb_median,forced_gc_live_heap_kb_min,forced_gc_live_heap_kb_p90,forced_gc_live_heap_kb_stdev,full_refreshes_count,full_refreshes_max,full_refreshes_mean,full_refreshes_median,full_refreshes_min,full_refreshes_p90,full_refreshes_stdev,largest_single_dirty_pct_count,largest_single_dirty_pct_max,largest_single_dirty_pct_mean,largest_single_dirty_pct_median,largest_single_dirty_pct_min,largest_single_dirty_pct_p90,largest_single_dirty_pct_stdev,lua_heap_delta_kb_count,lua_heap_delta_kb_max,lua_heap_delta_kb_mean,lua_heap_delta_kb_median,lua_heap_delta_kb_min,lua_heap_delta_kb_p90,lua_heap_delta_kb_stdev,natural_lua_heap_kb_count,natural_lua_heap_kb_max,natural_lua_heap_kb_mean,natural_lua_heap_kb_median,natural_lua_heap_kb_min,natural_lua_heap_kb_p90,natural_lua_heap_kb_stdev,partial_refreshes_count,partial_refreshes_max,partial_refreshes_mean,partial_refreshes_median,partial_refreshes_min,partial_refreshes_p90,partial_refreshes_stdev,refresh_count_count,refresh_count_max,refresh_count_mean,refresh_count_median,refresh_count_min,refresh_count_p90,refresh_count_stdev,rss_kb_count,rss_kb_max,rss_kb_mean,rss_kb_median,rss_kb_min,rss_kb_p90,rss_kb_stdev,set_dirty_calls_count,set_dirty_calls_max,set_dirty_calls_mean,set_dirty_calls_median,set_dirty_calls_min,set_dirty_calls_p90,set_dirty_calls_stdev,total_bytes_count,total_bytes_max,total_bytes_mean,total_bytes_median,total_bytes_min,total_bytes_p90,total_bytes_stdev,unique_dirty_pct_count,unique_dirty_pct_max,unique_dirty_pct_mean,unique_dirty_pct_median,unique_dirty_pct_min,unique_dirty_pct_p90,unique_dirty_pct_stdev,wall_time_ms_count,wall_time_ms_max,wall_time_ms_mean,wall_time_ms_median,wall_time_ms_min,wall_time_ms_p90,wall_time_ms_stdev
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,open_book,PASS,1,10,0,0,,,,,,,,10,11.000000,10.900000,11.000000,10.000000,11.000000,0.316228,,,,,,,,10,11.000000,10.900000,11.000000,10.000000,11.000000,0.316228,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,1265.147461,-502.869531,-636.319336,-2313.592773,816.898242,1060.447162,10,20960.245117,19361.087305,19165.616211,17891.971680,20656.964453,1095.412280,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,11.000000,10.900000,11.000000,10.000000,11.000000,0.316228,10,343840.000000,343088.000000,343680.000000,341280.000000,343840.000000,1085.408679,10,11.000000,10.900000,11.000000,10.000000,11.000000,0.316228,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,107.788000,71.901400,71.033000,49.262000,86.904400,16.612073
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,open_book_minimal,PASS,1,10,0,0,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1504.386719,105.050000,-106.659668,-1282.537109,1272.076855,945.399799,10,18196.798828,15304.629199,15214.359863,12921.651367,17701.834863,1731.631856,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,341280.000000,324824.000000,333016.000000,284864.000000,340992.000000,17468.431463,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,237.752000,112.744000,104.986000,46.457000,150.206300,52.706711
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,reader_page_turn,PASS,1,10,0,0,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,57.246094,20.881836,15.690918,11.085938,37.172754,14.479044,10,20037.824219,18714.682520,18705.308594,17625.917969,19478.860059,784.026362,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,10,355152.000000,355152.000000,355152.000000,355152.000000,355152.000000,0.000000,10,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,,,,,,,,10,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,10,8.715000,8.302200,8.229000,7.532000,8.654700,0.352285
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,start_to_home,UNSUPPORTED,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookends_control,A_stock,warm,bookends_control,real_2692,2692,process:spawn_to_ui_ready_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,513.452625,513.452625,513.452625,513.452625,513.452625,0.000000
bookends_control,A_stock,warm,bookends_control,real_2692,2692,process:spawn_to_library_ready_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,950.335542,950.335542,950.335542,950.335542,950.335542,0.000000
bookends_control,A_stock,warm,bookends_control,real_2692,2692,process:spawn_to_process_exit_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7472.864667,7472.864667,7472.864667,7472.864667,7472.864667,0.000000
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,process:spawn_to_ui_ready_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,540.413667,540.413667,540.413667,540.413667,540.413667,0.000000
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,process:spawn_to_library_ready_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,981.647542,981.647542,981.647542,981.647542,981.647542,0.000000
bookends_control,K_stock_bookends,warm,bookends_control,real_2692,2692,process:spawn_to_process_exit_ms,PASS,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8945.412250,8945.412250,8945.412250,8945.412250,8945.412250,0.000000
